Date,TED,Previous TED,TED_Change
2017-01-20,0.55,0.49,0.06000000000000005
2017-01-27,0.53,0.5,0.030000000000000027
2017-02-03,0.53,0.55,-0.020000000000000018
2017-02-10,0.5,0.53,-0.030000000000000027
2017-02-17,0.53,0.53,0.0
2017-02-24,0.54,0.5,0.040000000000000036
2017-03-03,0.4,0.53,-0.13
2017-03-10,0.39,0.54,-0.15000000000000002
2017-03-17,0.43,0.4,0.02999999999999997
2017-03-24,0.38,0.39,-0.010000000000000009
2017-03-31,0.4,0.43,-0.02999999999999997
2017-04-07,0.35,0.38,-0.030000000000000027
2017-04-21,0.38,0.4,-0.020000000000000018
2017-04-28,0.38,0.35,0.030000000000000027
2017-05-05,0.3,0.38,-0.08000000000000002
2017-05-12,0.32,0.38,-0.06
2017-05-19,0.29,0.3,-0.010000000000000009
2017-05-26,0.28,0.32,-0.03999999999999998
2017-06-02,0.26,0.29,-0.02999999999999997
2017-06-09,0.25,0.28,-0.030000000000000027
2017-06-16,0.26,0.26,0.0
2017-06-23,0.34,0.25,0.09000000000000002
2017-06-30,0.29,0.26,0.02999999999999997
2017-07-07,0.28,0.34,-0.06
2017-07-14,0.28,0.29,-0.009999999999999953
2017-07-21,0.17,0.28,-0.11000000000000001
2017-07-28,0.25,0.28,-0.030000000000000027
2017-08-04,0.25,0.17,0.07999999999999999
2017-08-11,0.3,0.25,0.04999999999999999
2017-08-18,0.31,0.25,0.06
2017-08-25,0.31,0.3,0.010000000000000009
2017-09-01,0.32,0.31,0.010000000000000009
2017-09-08,0.29,0.31,-0.020000000000000018
2017-09-15,0.29,0.32,-0.030000000000000027
2017-09-22,0.32,0.29,0.030000000000000027
2017-09-29,0.29,0.29,0.0
2017-10-06,0.3,0.32,-0.020000000000000018
2017-10-13,0.28,0.29,-0.009999999999999953
2017-10-20,0.27,0.3,-0.02999999999999997
2017-10-27,0.3,0.28,0.019999999999999962
2017-11-03,0.23,0.27,-0.04000000000000001
2017-11-10,0.2,0.3,-0.09999999999999998
2017-11-17,0.18,0.23,-0.05000000000000002
2017-11-24,0.21,0.2,0.009999999999999981
2017-12-01,0.24,0.18,0.06
2017-12-08,0.29,0.21,0.07999999999999999
2017-12-15,0.32,0.24,0.08000000000000002
2017-12-22,0.38,0.29,0.09000000000000002
2017-12-29,0.32,0.32,0.0
2018-01-05,0.33,0.38,-0.04999999999999999
2018-01-12,0.31,0.32,-0.010000000000000009
2018-01-19,0.32,0.33,-0.010000000000000009
2018-01-26,0.38,0.31,0.07
2018-02-02,0.33,0.32,0.010000000000000009
2018-02-09,0.29,0.38,-0.09000000000000002
2018-02-16,0.29,0.33,-0.040000000000000036
2018-02-23,0.35,0.29,0.06
2018-03-02,0.41,0.29,0.12
2018-03-09,0.45,0.35,0.10000000000000003
2018-03-16,0.45,0.41,0.040000000000000036
2018-03-23,0.58,0.45,0.12999999999999995
2018-04-06,0.64,0.45,0.19
2018-04-13,0.62,0.58,0.040000000000000036
2018-04-20,0.58,0.64,-0.06000000000000005
2018-04-27,0.58,0.62,-0.040000000000000036
2018-05-04,0.57,0.58,-0.010000000000000009
2018-05-11,0.46,0.58,-0.11999999999999994
2018-05-18,0.46,0.57,-0.10999999999999993
2018-05-25,0.46,0.46,0.0
2018-06-01,0.44,0.46,-0.020000000000000018
2018-06-08,0.44,0.46,-0.020000000000000018
2018-06-15,0.43,0.44,-0.010000000000000009
2018-06-22,0.45,0.44,0.010000000000000009
2018-06-29,0.45,0.43,0.020000000000000018
2018-07-06,0.4,0.45,-0.04999999999999999
2018-07-13,0.4,0.45,-0.04999999999999999
2018-07-20,0.39,0.4,-0.010000000000000009
2018-07-27,0.38,0.4,-0.020000000000000018
2018-08-03,0.37,0.39,-0.020000000000000018
2018-08-10,0.31,0.38,-0.07
2018-08-17,0.3,0.37,-0.07
2018-08-24,0.27,0.31,-0.03999999999999998
2018-08-31,0.25,0.3,-0.04999999999999999
2018-09-07,0.23,0.27,-0.04000000000000001
2018-09-14,0.22,0.25,-0.03
2018-09-21,0.23,0.23,0.0
2018-09-28,0.25,0.22,0.03
2018-10-05,0.23,0.23,0.0
2018-10-12,0.21,0.25,-0.04000000000000001
2018-10-19,0.22,0.23,-0.010000000000000009
2018-10-26,0.24,0.21,0.03
2018-11-02,0.31,0.22,0.09
2018-11-09,0.31,0.24,0.07
2018-11-16,0.33,0.31,0.020000000000000018
2018-11-23,0.33,0.31,0.020000000000000018
2018-11-30,0.42,0.33,0.08999999999999997
2018-12-07,0.42,0.33,0.08999999999999997
2018-12-14,0.43,0.42,0.010000000000000009
2018-12-21,0.48,0.42,0.06
2018-12-28,0.45,0.43,0.020000000000000018
2019-01-04,0.43,0.48,-0.04999999999999999
2019-01-11,0.41,0.45,-0.040000000000000036
2019-01-18,0.4,0.43,-0.02999999999999997
2019-01-25,0.41,0.41,0.0
2019-02-01,0.38,0.4,-0.020000000000000018
2019-02-08,0.32,0.41,-0.08999999999999997
2019-02-15,0.3,0.38,-0.08000000000000002
2019-02-22,0.24,0.32,-0.08000000000000002
2019-03-01,0.21,0.3,-0.09
2019-03-08,0.19,0.24,-0.04999999999999999
2019-03-15,0.23,0.21,0.020000000000000018
2019-03-22,0.2,0.19,0.010000000000000009
2019-03-29,0.25,0.23,0.01999999999999999
2019-04-05,0.2,0.2,0.0
2019-04-12,0.21,0.25,-0.04000000000000001
2019-04-26,0.21,0.2,0.009999999999999981
2019-05-03,0.18,0.21,-0.03
2019-05-10,0.15,0.21,-0.06
2019-05-17,0.18,0.18,0.0
2019-05-24,0.22,0.15,0.07
2019-05-31,0.2,0.18,0.020000000000000018
2019-06-07,0.22,0.22,0.0
2019-06-14,0.25,0.2,0.04999999999999999
2019-06-21,0.28,0.22,0.060000000000000026
2019-06-28,0.24,0.25,-0.010000000000000009
2019-07-05,0.13,0.28,-0.15000000000000002
2019-07-12,0.22,0.24,-0.01999999999999999
2019-07-19,0.24,0.13,0.10999999999999999
2019-07-26,0.19,0.22,-0.03
2019-08-02,0.22,0.24,-0.01999999999999999
2019-08-09,0.22,0.19,0.03
2019-08-16,0.31,0.22,0.09
2019-08-23,0.21,0.22,-0.010000000000000009
2019-08-30,0.19,0.31,-0.12
2019-09-06,0.21,0.21,0.0
2019-09-13,0.22,0.19,0.03
2019-09-20,0.26,0.21,0.05000000000000002
2019-09-27,0.34,0.22,0.12000000000000002
2019-10-04,0.35,0.26,0.08999999999999997
2019-10-11,0.35,0.34,0.009999999999999953
2019-10-18,0.32,0.35,-0.02999999999999997
2019-10-25,0.3,0.35,-0.04999999999999999
2019-11-01,0.4,0.32,0.08000000000000002
2019-11-08,0.38,0.3,0.08000000000000002
2019-11-15,0.36,0.4,-0.040000000000000036
2019-11-22,0.37,0.38,-0.010000000000000009
2019-11-29,0.35,0.36,-0.010000000000000009
2019-12-06,0.39,0.37,0.020000000000000018
2019-12-13,0.36,0.35,0.010000000000000009
2019-12-20,0.38,0.39,-0.010000000000000009
2019-12-27,0.4,0.36,0.040000000000000036
2020-01-03,0.38,0.38,0.0
2020-01-10,0.33,0.4,-0.07
2020-01-17,0.29,0.38,-0.09000000000000002
2020-01-24,0.29,0.33,-0.040000000000000036
2020-01-31,0.23,0.29,-0.05999999999999997
2020-02-07,0.2,0.29,-0.08999999999999997
2020-02-14,0.14,0.23,-0.09
2020-02-21,0.15,0.2,-0.05000000000000002
2020-02-28,0.21,0.14,0.06999999999999998
2020-03-06,0.45,0.15,0.30000000000000004
2020-03-13,0.57,0.21,0.36
2020-03-20,1.15,0.45,0.7
2020-03-27,1.42,0.57,0.85
2020-04-03,1.29,1.15,0.14000000000000012
2020-04-17,0.99,1.42,-0.42999999999999994
2020-04-24,0.77,1.29,-0.52
2020-05-01,0.42,0.99,-0.5700000000000001
2020-05-15,0.26,0.77,-0.51
2020-05-22,0.25,0.42,-0.16999999999999998
2020-05-29,0.2,0.26,-0.06
2020-06-05,0.16,0.25,-0.09
2020-06-12,0.16,0.2,-0.04000000000000001
2020-06-19,0.16,0.16,0.0
2020-06-26,0.17,0.16,0.010000000000000009
2020-07-10,0.14,0.16,-0.01999999999999999
2020-07-17,0.16,0.17,-0.010000000000000009
2020-07-24,0.14,0.14,0.0
2020-07-31,0.16,0.16,0.0
2020-08-07,0.15,0.14,0.009999999999999981
2020-08-14,0.17,0.16,0.010000000000000009
2020-08-21,0.15,0.15,0.0
2020-08-28,0.14,0.17,-0.03
2020-09-04,0.14,0.15,-0.009999999999999981
2020-09-11,0.14,0.14,0.0
2020-09-18,0.13,0.14,-0.010000000000000009
2020-09-25,0.12,0.14,-0.020000000000000018
2020-10-02,0.14,0.13,0.010000000000000009
2020-10-09,0.12,0.12,0.0
2020-10-16,0.11,0.14,-0.030000000000000013
2020-10-23,0.12,0.12,0.0
2020-10-30,0.13,0.11,0.020000000000000004
2020-11-06,0.11,0.12,-0.009999999999999995
2020-11-13,0.13,0.13,0.0
2020-11-20,0.13,0.11,0.020000000000000004
2020-11-27,0.14,0.13,0.010000000000000009
2020-12-04,0.14,0.13,0.010000000000000009
2020-12-11,0.14,0.14,0.0
2020-12-18,0.16,0.14,0.01999999999999999
2021-01-08,0.14,0.14,0.0
2021-01-15,0.13,0.16,-0.03
2021-01-22,0.14,0.14,0.0
2021-01-29,0.14,0.13,0.010000000000000009
2021-02-05,0.16,0.14,0.01999999999999999
2021-02-12,0.15,0.14,0.009999999999999981
2021-02-19,0.14,0.16,-0.01999999999999999
2021-02-26,0.15,0.15,0.0
2021-03-05,0.15,0.14,0.009999999999999981
2021-03-12,0.15,0.15,0.0
2021-03-19,0.19,0.15,0.04000000000000001
2021-03-26,0.18,0.15,0.03
2021-04-09,0.17,0.19,-0.01999999999999999
2021-04-16,0.17,0.18,-0.009999999999999981
2021-04-23,0.15,0.17,-0.020000000000000018
2021-04-30,0.17,0.17,0.0
2021-05-07,0.14,0.15,-0.009999999999999981
2021-05-14,0.15,0.17,-0.020000000000000018
2021-05-21,0.14,0.14,0.0
2021-05-28,0.12,0.15,-0.03
2021-06-04,0.11,0.14,-0.030000000000000013
2021-06-11,0.09,0.12,-0.03
2021-06-18,0.08,0.11,-0.03
2021-06-25,0.09,0.09,0.0
2021-07-02,0.09,0.08,0.009999999999999995
2021-07-09,0.07,0.09,-0.01999999999999999
2021-07-16,0.08,0.09,-0.009999999999999995
2021-07-23,0.08,0.07,0.009999999999999995
2021-07-30,0.06,0.08,-0.020000000000000004
2021-08-06,0.07,0.08,-0.009999999999999995
2021-08-13,0.06,0.06,0.0
2021-08-20,0.08,0.07,0.009999999999999995
2021-08-27,0.07,0.06,0.010000000000000009
2021-09-03,0.07,0.08,-0.009999999999999995
2021-09-10,0.07,0.07,0.0
2021-09-17,0.08,0.07,0.009999999999999995
2021-09-24,0.1,0.07,0.03
2021-10-01,0.09,0.08,0.009999999999999995
2021-10-08,0.07,0.1,-0.03
2021-10-15,0.07,0.09,-0.01999999999999999
2021-10-22,0.06,0.07,-0.010000000000000009
2021-10-29,0.08,0.07,0.009999999999999995
2021-11-05,0.09,0.06,0.03
2021-11-12,0.11,0.08,0.03
2021-11-19,0.11,0.09,0.020000000000000004
2021-11-26,0.12,0.11,0.009999999999999995
2021-12-03,0.13,0.11,0.020000000000000004
2021-12-10,0.14,0.12,0.020000000000000018
2021-12-17,0.16,0.13,0.03
2021-12-31,0.15,0.14,0.009999999999999981
2022-01-07,0.14,0.16,-0.01999999999999999
2022-01-14,0.11,0.15,-0.039999999999999994
2022-01-21,0.09,0.14,-0.05000000000000002
